largest_community_name,membership,avg_plurality,map_color
African American,10506480,0.223334508094195,#5A89A1
Chinese,30315,0.217408167920748,#574752
Colombian,457,0.192664418212479,#6b595e
Dominican,525,0.225225225225225,#536f91
English,228,0.159887798036466,#725d3f
Hawaiian/Pacific Islander,1,0.166666666666667,#999099
Irish,5472988,0.296888568326522,#405A56
Italian,460902,0.252163924456585,#696935
Puerto Rican,553,0.136106325375338,#363A3D
Salvadoran,159912,0.198232688749065,#564e6d
Spanish,1,0.111111111111111,#aa9552
Vietnamese,1828,0.283366919857386,#365F74
